Townships,Commodity,Year,Month,Arrivals_in_ton,Min_price($),Max_price($),Modal_price($),Date,County_name,State_name
Tama,Corn,2015,June,22755.53649,3.133333333,31.94666667,17.58666667,2015-06,Tama,Iowa
Tama,Corn,2016,June,24434.13415,1.386666667,17.06666667,7.506666667,2016-06,Tama,Iowa
Tama,Hay,2015,June,68.563682,9.333333333,18.66666667,14.66666667,2015-06,Tama,Iowa
Tama,Dairy Products,2015,June,1014.896817,3.306666667,24.18666667,13.78666667,2015-06,Tama,Iowa
Tama,Dairy Products,2016,June,1665.149486,10.82666667,59.49333333,29.28,2016-06,Tama,Iowa
Buckingham,Oats,2015,March,14.109568,80.04,84,82,2015-03,Tama,Iowa
Buckingham,Oats,2016,March,8.487787,107.4666667,113.0666667,110.1333333,2016-03,Tama,Iowa
Quincy,Broilers,2014,October,31.746528,12,12,12,2014-10,Adams,Iowa
Big Groe,Broilers,2016,October,72.201305,11.73333333,12.93333333,12,2016-10,Benton,Iowa
Westphalia,Hogs,2016,August,25.242899,0.253333333,0.293333333,0.28,2016-08,Shelby,Iowa
Westphalia,Hogs,2016,July,30.093063,0.266666667,0.306666667,0.28,2016-07,Shelby,Iowa
Carlton,Corn,2015,March,84.657408,12.25333333,21.41333333,17.50666667,2015-03,Tama,Iowa
Carlton,Corn,2016,March,105.711529,7.906666667,17.33333333,17.33333333,2016-03,Tama,Iowa
Carlton,Turkeys,2015,March,330.693,0.026666667,0.066666667,0.04,2015-03,Tama,Iowa
Carlton,Dairy Products,2015,March,12.897027,7.64,12.09333333,9.506666667,2015-03,Tama,Iowa
Carlton,Dairy Products,2016,March,24.030358,11.52,19.05333333,19.05333333,2016-03,Tama,Iowa
Providence,Broilers,2014,November,8.708249,10.89333333,13.10666667,12,2014-11,Buena Vista,Iowa
Washington,Broilers,2015,October,0.110231,12,12,12,2015-10,Buena Vista,Iowa
Clark,Oats,2015,March,135.253437,66.97333333,74.41333333,71.14666667,2015-03,Tama,Iowa
Clark,Oats,2016,March,151.898318,94.41333333,103.3066667,97.69333333,2016-03,Tama,Iowa
Clark,Corn,2015,March,108.797997,5.56,19.88,13,2015-03,Tama,Iowa
Clark,Corn,2016,March,285.388059,1.333333333,9.96,8.093333333,2016-03,Tama,Iowa
Clark,Hay,2016,March,66.1386,5.333333333,10.66666667,8,2016-03,Tama,Iowa
Clark,Dairy Products,2015,March,16.203957,0.4,0.946666667,0.773333333,2015-03,Tama,Iowa
Clark,Dairy Products,2016,March,14.550492,0.32,0.586666667,0.453333333,2016-03,Tama,Iowa
Lime City,Broilers,2016,October,139.442215,11.77333333,12.49333333,12,2016-10,Cedar,Iowa
St. Johns,Broilers,2015,July,0.220462,12,12,12,2015-07,Iowa,Iowa
Columbia,Oats,2015,March,4.519471,66.13333333,67.72,67.54666667,2015-03,Tama,Iowa
Columbia,Oats,2016,March,27.888443,84.48,98.17333333,95.41333333,2016-03,Tama,Iowa
Columbia,Soybeans,2016,March,5.842243,48.45333333,49.45333333,49.45333333,2016-03,Tama,Iowa
Cascade,Broilers,2016,October,28.880522,11.18666667,15.62666667,12.01333333,2016-10,Dubuque,Iowa
Bruce,Broilers,2014,December,611.120664,11.28,13.29333333,12.13333333,2014-12,Benton,Iowa
Geneseo,Oats,2015,March,419.208493,76.22666667,84.98666667,81.97333333,2015-03,Tama,Iowa
Geneseo,Oats,2016,March,311.843499,93.05333333,112.0933333,107.4266667,2016-03,Tama,Iowa
Canton,Broilers,2014,December,3549.217738,11.18666667,13,12.30666667,2014-12,Benton,Iowa
Garden Grove,Broilers,2016,October,373.68309,12.12,12.53333333,12.36,2016-10,Decatur,Iowa
Jefferson,Broilers,2015,September,5.180857,16,12.53333333,12.4,2015-09,Adams,Iowa
Howard,Oats,2015,March,0.992079,56.89333333,56.89333333,56.89333333,2015-03,Tama,Iowa
Howard,Oats,2016,March,1.653465,78.78666667,78.78666667,78.78666667,2016-03,Tama,Iowa
Howard,Corn,2016,March,118.388094,1.6,9.186666667,5.44,2016-03,Tama,Iowa
Canton,Broilers,2014,November,1168.999755,11.28,13.12,12.4,2014-11,Benton,Iowa
Penn,Broilers,2015,May,2.535313,12.41333333,17,12.41333333,2015-05,Madison,Iowa
Oneida,Oats,2015,March,8.377556,50.76,69.89333333,62.93333333,2015-03,Tama,Iowa
Oneida,Oats,2016,March,1.433003,74.22666667,94.61333333,89.78666667,2016-03,Tama,Iowa
Oneida,Corn,2015,March,357.809826,5.453333333,19.37333333,11.50666667,2015-03,Tama,Iowa
Oneida,Corn,2016,March,202.604578,1.56,9.893333333,5.56,2016-03,Tama,Iowa
Cedar,Broilers,2014,December,827.945041,12,12.89333333,12.44,2014-12,Benton,Iowa
Washington,Broilers,2015,June,7.275246,12.04,12.65333333,12.50666667,2015-06,Buena Vista,Iowa
Indian Village,Oats,2015,March,2.425082,59.65333333,67.66666667,65.78666667,2015-03,Tama,Iowa
Indian Village,Oats,2016,March,0.220462,94,94,94,2016-03,Tama,Iowa
Indian Village,Dairy Products,2015,March,125.001954,2.36,11.38666667,7.026666667,2015-03,Tama,Iowa
Indian Village,Dairy Products,2016,March,208.33659,2.24,9.026666667,5.44,2016-03,Tama,Iowa
Cascade,Broilers,2014,December,90.609882,11.62666667,13.61333333,12.50666667,2014-12,Dubuque,Iowa
Lincoln,Broilers,2014,December,623.686998,11.17333333,13.88,12.52,2014-12,Buena Vista,Iowa
Perry,Oats,2015,March,0.551155,50.66666667,72.06666667,68,2015-03,Tama,Iowa
Perry,Oats,2016,March,0.220462,101.2,101.2,101.2,2016-03,Tama,Iowa
Washington,Broilers,2015,March,1.322772,12.66666667,12.66666667,12.66666667,2015-03,Buena Vista,Iowa
Iowa,Broilers,2014,December,365.305534,11.66666667,13.53333333,12.66666667,2014-12,Dubuque,Iowa
Salth Creek,Oats,2016,March,0.220462,97.06666667,97.06666667,97.06666667,2016-03,Tama,Iowa
Raglan,Hogs,2014,September,225.642857,0.346666667,0.28,0.32,2014-09,Iowa,Iowa
Salth Creek,Corn,2015,March,269.184102,3.506666667,20.26666667,16.42666667,2015-03,Tama,Iowa
Salth Creek,Corn,2016,March,386.690348,1.32,12.76,8.213333333,2016-03,Tama,Iowa
Salth Creek,Turkeys,2015,March,1.873927,4.226666667,14.44,6.666666667,2015-03,Tama,Iowa
Salth Creek,Dairy Products,2015,March,94.79866,2.386666667,10.64,7.186666667,2015-03,Tama,Iowa
Salth Creek,Dairy Products,2016,March,76.279852,2.146666667,11.69333333,5.373333333,2016-03,Tama,Iowa
Tama,Chicken Eggs,2015,March,1765.90062,28.56,74.85333333,48.98666667,2015-03,Tama,Iowa
Tama,Chicken Eggs,2016,March,835.771442,29.52,68.18666667,44.32,2016-03,Tama,Iowa
Tama,Oats,2015,March,47.289099,68.25333333,79.01333333,76.2,2015-03,Tama,Iowa
Tama,Oats,2016,March,19.510887,98.26666667,105.8266667,103.84,2016-03,Tama,Iowa
Raglan,Hogs,2014,October,1.653465,0.36,0.32,0.346666667,2014-10,Iowa,Iowa
Clark,Hogs,2015,October,18.518808,1.066666667,1.44,1.333333333,2015-10,Tama,Iowa
Tama,Corn,2015,March,36587.32237,3.013333333,21.96,12.85333333,2015-03,Tama,Iowa
Tama,Corn,2016,March,43827.40468,1.226666667,12.88,6.386666667,2016-03,Tama,Iowa
Tama,Dairy Products,2015,March,497.472503,1.386666667,8.853333333,4.52,2015-03,Tama,Iowa
Tama,Dairy Products,2016,March,814.717321,1.6,7.04,4.08,2016-03,Tama,Iowa
Buckingham,Oats,2016,May,19.180194,120.44,124.96,123.3333333,2016-05,Tama,Iowa
Dodge,Broilers,2014,November,5.51155,12.50666667,12.77333333,12.66666667,2014-11,Dubuque,Iowa
Jackson,Broilers,2015,September,0.220462,12.66666667,12.66666667,12.66666667,2015-09,Iowa,Iowa
Carlton,Oats,2016,May,0.330693,102.6933333,102.6933333,102.6933333,2016-05,Tama,Iowa
Clark,Hogs,2015,September,19.84158,1.066666667,1.4,1.333333333,2015-09,Tama,Iowa
Mantua,Hogs,2016,June,0.771617,0.666666667,1.733333333,1.6,2016-06,Monroe,Iowa
Carlton,Corn,2015,May,48.832333,11.49333333,18.25333333,15.08,2015-05,Tama,Iowa
Carlton,Corn,2016,May,109.018459,6.666666667,15.74666667,15.74666667,2016-05,Tama,Iowa
Carlton,Turkeys,2015,May,220.462,0.026666667,0.053333333,0.04,2015-05,Tama,Iowa
Carlton,Dairy Products,2015,May,10.802638,9.333333333,14.16,11.58666667,2015-05,Tama,Iowa
Carlton,Dairy Products,2016,May,28.219136,17.48,34.52,34.52,2016-05,Tama,Iowa
Bruce,Broilers,2014,November,201.171575,12.09333333,13.30666667,12.69333333,2014-11,Benton,Iowa
Providence,Broilers,2014,December,14.219799,11.84,14.21333333,12.69333333,2014-12,Buena Vista,Iowa
Clark,Oats,2015,May,59.414509,76.24,86.37333333,81.21333333,2015-05,Tama,Iowa
Clark,Oats,2016,May,172.511515,100.52,111.4266667,106.68,2016-05,Tama,Iowa
Clark,Corn,2015,May,198.305569,3.173333333,18.18666667,10.97333333,2015-05,Tama,Iowa
Clark,Corn,2016,May,80.027706,3.306666667,9.173333333,7.24,2016-05,Tama,Iowa
Clark,Turkeys,2015,May,66.1386,4,6.666666667,5.333333333,2015-05,Tama,Iowa
Clark,Turkeys,2016,May,302.03294,6.28,18,11.33333333,2016-05,Tama,Iowa
Clark,Hay,2015,May,66.1386,6.666666667,12,8,2015-05,Tama,Iowa
Clark,Hay,2016,May,331.133924,12.10666667,26,18.22666667,2016-05,Tama,Iowa
Clark,Dairy Products,2015,May,7.275246,0.64,1.293333333,1.04,2015-05,Tama,Iowa
Clark,Dairy Products,2016,May,22.266662,6.88,14.22666667,10.73333333,2016-05,Tama,Iowa
Lincoln,Broilers,2014,November,223.548468,11.90666667,13.49333333,12.70666667,2014-11,Buena Vista,Iowa
Iowa,Broilers,2015,February,464.403203,12,13.50666667,12.74666667,2015-02,Dubuque,Iowa
Columbia,Oats,2016,May,3.637623,95.10666667,100.8933333,100.8933333,2016-05,Tama,Iowa
Columbia,Soybeans,2015,May,0.992079,50.66666667,50.66666667,50.66666667,2015-05,Tama,Iowa
Columbia,Soybeans,2016,May,0.440924,50,50,50,2016-05,Tama,Iowa
Florence,Broilers,2014,November,345.574185,12,13.50666667,12.77333333,2014-11,Benton,Iowa
Lime City,Broilers,2014,December,25.022437,12.14666667,13.84,12.8,2014-12,Cedar,Iowa
Geneseo,Oats,2015,May,214.840219,91.64,99.29333333,97.46666667,2015-05,Tama,Iowa
Geneseo,Oats,2016,May,259.373543,106.7066667,122.12,117.8133333,2016-05,Tama,Iowa
Cascade,Broilers,2014,November,71.319457,11.94666667,15.65333333,12.82666667,2014-11,Dubuque,Iowa
Nokomis,Broilers,2014,December,16.53465,12.38666667,13.6,12.85333333,2014-12,Buena Vista,Iowa
Benton,Broilers,2014,December,1985.150079,11.44,14.28,12.86666667,2014-12,Benton,Iowa
Howard,Corn,2015,May,148.81185,3.32,17.76,10,2015-05,Tama,Iowa
Howard,Corn,2016,May,134.371589,1.533333333,8.933333333,5.24,2016-05,Tama,Iowa
Decatur,Broilers,2016,October,3234.17754,10.4,15.54666667,12.86666667,2016-10,Decatur,Iowa
Eden,Broilers,2014,November,3683.148403,12.18666667,15.50666667,12.89333333,2014-11,Benton,Iowa
Oneida,Oats,2015,May,0.771617,60,74.64,63.33333333,2015-05,Tama,Iowa
Oneida,Corn,2015,May,78.815165,2.733333333,18.88,10.32,2015-05,Tama,Iowa
Oneida,Corn,2016,May,223.76893,1.48,9.68,5,2016-05,Tama,Iowa
Fayette,Broilers,2016,October,23.038279,12.32,13.32,12.90666667,2016-10,Decatur,Iowa
Washington,Broilers,2014,December,7.605939,12.73333333,13.26666667,13,2014-12,Buena Vista,Iowa
Indian Village,Oats,2015,May,0.881848,74.66666667,74.66666667,74.66666667,2015-05,Tama,Iowa
Indian Village,Oats,2016,May,0.220462,90.66666667,90.66666667,90.66666667,2016-05,Tama,Iowa
Indian Village,Dairy Products,2015,May,153.441552,3.306666667,19.50666667,12.44,2015-05,Tama,Iowa
Indian Village,Dairy Products,2016,May,153.772245,6.213333333,37.33333333,22.86666667,2016-05,Tama,Iowa
Burrell,Broilers,2014,December,3.747854,13,13,13,2014-12,Decatur,Iowa
Grant,Broilers,2014,November,4418.05848,11.72,15.86666667,13,2014-11,Linn,Iowa
Perry,Oats,2016,May,0.330693,112.0666667,112.0666667,112.0666667,2016-05,Tama,Iowa
Concord,Broilers,2014,November,267.971561,12.88,13.12,13.01333333,2014-11,Dubuque,Iowa
Salth Creek,Corn,2015,May,295.970235,3.053333333,21.69333333,15.05333333,2015-05,Tama,Iowa
Salth Creek,Corn,2016,May,408.95701,1.72,12.08,7.8,2016-05,Tama,Iowa
Salth Creek,Turkeys,2015,May,1.10231,8.333333333,68,33.33333333,2015-05,Tama,Iowa
Salth Creek,Turkeys,2016,May,71.209226,3.346666667,8.173333333,5.4,2016-05,Tama,Iowa
Salth Creek,Dairy Products,2015,May,89.066648,3.533333333,16.44,10.6,2015-05,Tama,Iowa
Salth Creek,Dairy Products,2016,May,74.516156,8.613333333,40.25333333,30.02666667,2016-05,Tama,Iowa
Tama,Chicken Eggs,2015,May,1490.32312,28.12,73.26666667,47.08,2015-05,Tama,Iowa
Tama,Chicken Eggs,2016,May,1007.070416,29.54666667,70.85333333,43.65333333,2016-05,Tama,Iowa
Tama,Oats,2015,May,3.527392,82.46666667,83,83,2015-05,Tama,Iowa
Tama,Oats,2016,May,29.76237,110.2666667,117.2933333,114.6133333,2016-05,Tama,Iowa
Raglan,Hogs,2015,June,9.479866,2.56,3.013333333,2.786666667,2015-06,Iowa,Iowa
Raglan,Hogs,2015,April,5.180857,2.786666667,3.306666667,5.173333333,2015-04,Iowa,Iowa
Tama,Corn,2015,May,31083.709,1.426666667,26.29333333,13.01333333,2015-05,Tama,Iowa
Tama,Corn,2016,May,39465.34354,1.333333333,14.13333333,6.613333333,2016-05,Tama,Iowa
Tama,Turkeys,2016,May,5631.922252,5.106666667,30.26666667,17.33333333,2016-05,Tama,Iowa
Tama,Dairy Products,2015,May,1133.615604,2.866666667,18.89333333,11.85333333,2015-05,Tama,Iowa
Tama,Dairy Products,2016,May,17821.26623,5.146666667,39.49333333,16.05333333,2016-05,Tama,Iowa
Mosalem,Broilers,2016,October,255.515458,12.44,14.13333333,13.05333333,2016-10,Dubuque,Iowa
Buckingham,Oats,2015,November,69.665992,144.7866667,160.9333333,152.6666667,2015-11,Tama,Iowa
Williamson,Broilers,2014,December,17.526729,12.8,13.93333333,13.06666667,2014-12,Adams,Iowa
Morgan,Broilers,2014,November,109.459383,11.56,14.06666667,13.09333333,2014-11,Decatur,Iowa
Carlton,Soybeans,2014,November,1.433003,42.73333333,42.73333333,42.73333333,2014-11,Tama,Iowa
Monroe,Hogs,2016,April,1.653465,5.333333333,5.333333333,5.333333333,2016-04,Madison,Iowa
Carlton,Corn,2014,November,120.15179,9.96,20.78666667,14.24,2014-11,Tama,Iowa
Carlton,Corn,2015,November,62.83167,17.81333333,45.61333333,45.61333333,2015-11,Tama,Iowa
Carlton,Turkeys,2014,November,132.2772,0.093333333,0.16,0.106666667,2014-11,Tama,Iowa
Carlton,Dairy Products,2014,November,21.164352,11.13333333,17.92,14.90666667,2014-11,Tama,Iowa
Carlton,Dairy Products,2015,November,17.306267,22.38666667,40.48,40.48,2015-11,Tama,Iowa
Quincy,Broilers,2014,December,145.063996,12.73333333,14.08,13.13333333,2014-12,Adams,Iowa
Cedar,Broilers,2015,January,45.745865,12.97333333,13.34666667,13.14666667,2015-01,Benton,Iowa
Clark,Chicken Eggs,2014,November,0.330693,20.6,20.6,20.6,2014-11,Tama,Iowa
Clark,Oats,2014,November,114.530009,52.30666667,62.01333333,55.24,2014-11,Tama,Iowa
Clark,Oats,2015,November,9.92079,103.4933333,111.2933333,106.6666667,2015-11,Tama,Iowa
Clark,Soybeans,2014,November,505.629597,41.4,44.50666667,43.14666667,2014-11,Tama,Iowa
Clark,Corn,2014,November,1040.360178,2.52,18.94666667,12.10666667,2014-11,Tama,Iowa
Clark,Corn,2015,November,311.071882,3.773333333,43.10666667,37.77333333,2015-11,Tama,Iowa
Clark,Turkeys,2015,November,99.2079,2.666666667,6.666666667,4,2015-11,Tama,Iowa
Clark,Hay,2015,November,66.1386,6.666666667,13.33333333,10.66666667,2015-11,Tama,Iowa
Clark,Dairy Products,2014,November,1.873927,0.36,0.8,0.56,2014-11,Tama,Iowa
Clark,Dairy Products,2015,November,9.149173,1.333333333,2,1.6,2015-11,Tama,Iowa
Darwin,Broilers,2014,December,136.025054,11.68,14.61333333,13.16,2014-12,Adams,Iowa
Columbia,Oats,2014,November,0.440924,58.66666667,58.66666667,58.66666667,2014-11,Tama,Iowa
Columbia,Soybeans,2014,November,8.708249,35.33333333,43.50666667,42.34666667,2014-11,Tama,Iowa
Columbia,Soybeans,2015,November,64.485135,47.44,49.81333333,49.32,2015-11,Tama,Iowa
Big Groe,Broilers,2014,November,31.636297,12.84,13.53333333,13.16,2014-11,Benton,Iowa
Benton,Broilers,2014,November,1958.694639,11.81333333,14.64,13.17333333,2014-11,Benton,Iowa
Geneseo,Oats,2014,November,85.98018,64.38666667,68.66666667,67.53333333,2014-11,Tama,Iowa
Geneseo,Oats,2015,November,65.697676,148.3733333,158.6,156.92,2015-11,Tama,Iowa
Providence,Broilers,2015,June,1.873927,12.22666667,13.77333333,13.17333333,2015-06,Buena Vista,Iowa
Beaver,Broilers,2014,October,0.220462,13.17333333,13.17333333,13.17333333,2014-10,Grundy,Iowa
Hayes,Broilers,2014,December,113.427699,12.45333333,13.94666667,13.2,2014-12,Buena Vista,Iowa
Howard,Oats,2014,November,9.038942,40.26666667,49.17333333,44.72,2014-11,Tama,Iowa
Howard,Oats,2015,November,0.330693,66.66666667,66.66666667,66.66666667,2015-11,Tama,Iowa
Howard,Soybeans,2014,November,0.330693,43,43,43,2014-11,Tama,Iowa
Howard,Corn,2014,November,113.097006,3.466666667,15.56,9.906666667,2014-11,Tama,Iowa
Howard,Corn,2015,November,257.94054,3.64,33.18666667,18.41333333,2015-11,Tama,Iowa
Burrell,Broilers,2014,October,0.771617,13.22666667,13.22666667,13.22666667,2014-10,Decatur,Iowa
Oneida,Corn,2015,November,1530.888128,3.08,36.08,20.33333333,2015-11,Tama,Iowa
Lee,Broilers,2014,November,163.362342,12,14.50666667,13.25333333,2014-11,Buena Vista,Iowa
St. Johns,Broilers,2015,June,10.582176,13.25333333,13.25333333,13.25333333,2015-06,Iowa,Iowa
Indian Village,Oats,2014,November,0.110231,42.01333333,42.01333333,42.01333333,2014-11,Tama,Iowa
Indian Village,Oats,2015,November,1.10231,120,120,120,2015-11,Tama,Iowa
Indian Village,Dairy Products,2014,November,185.518773,2.866666667,14.30666667,7.773333333,2014-11,Tama,Iowa
Indian Village,Dairy Products,2015,November,182.211843,5.28,40.86666667,24.50666667,2015-11,Tama,Iowa
Iowa,Broilers,2015,January,366.958999,12.26666667,14.13333333,13.26666667,2015-01,Dubuque,Iowa
Mt. Etna,Broilers,2014,November,3.858085,13.33333333,13.33333333,13.33333333,2014-11,Adams,Iowa
Perry,Oats,2014,November,1.543234,41.50666667,44.36,43.69333333,2014-11,Tama,Iowa
Fremont,Broilers,2015,October,11.353793,12.66666667,14,13.33333333,2015-10,Benton,Iowa
Hayes,Broilers,2015,April,136.025054,12.53333333,14.13333333,13.33333333,2015-04,Buena Vista,Iowa
Salth Creek,Corn,2014,November,310.190034,2.466666667,17.69333333,11.22666667,2014-11,Tama,Iowa
Salth Creek,Corn,2015,November,512.57415,3.333333333,42,26,2015-11,Tama,Iowa
Salth Creek,Turkeys,2014,November,1.543234,8.333333333,21.10666667,14.44,2014-11,Tama,Iowa
Salth Creek,Dairy Products,2014,November,76.941238,2.386666667,13.94666667,9.053333333,2014-11,Tama,Iowa
Salth Creek,Dairy Products,2015,November,62.83167,8.84,39.69333333,31.01333333,2015-11,Tama,Iowa
Tama,Chicken Eggs,2014,November,3941.750329,28.18666667,76.25333333,51.2,2014-11,Tama,Iowa
Tama,Chicken Eggs,2015,November,690.817677,28.10666667,69.24,46.89333333,2015-11,Tama,Iowa
Tama,Oats,2014,November,3.196699,64.6,64.6,64.6,2014-11,Tama,Iowa
Tama,Oats,2015,November,4.960395,135.7466667,139.7733333,139.7733333,2015-11,Tama,Iowa
Tama,Soybeans,2014,November,13.22772,41.96,45.22666667,44.85333333,2014-11,Tama,Iowa
Tama,Soybeans,2015,November,7.385477,46.72,49.09333333,48.53333333,2015-11,Tama,Iowa
Monroe,Hogs,2015,June,0.881848,6.666666667,7.333333333,7.066666667,2015-06,Madison,Iowa
Franklin,Hogs,2015,May,804.6863,5.266666667,9.546666667,7.293333333,2015-05,Decatur,Iowa
Tama,Corn,2014,November,93866.10574,1.346666667,26.46666667,10.93333333,2014-11,Tama,Iowa
Tama,Corn,2015,November,71988.11825,2.6,45.69333333,17.72,2015-11,Tama,Iowa
Tama,Dairy Products,2014,November,840.842068,1.56,14.17333333,8.586666667,2014-11,Tama,Iowa
Tama,Dairy Products,2015,November,655.87445,5.893333333,44.21333333,21.16,2015-11,Tama,Iowa
Lee,Broilers,2015,April,6.944553,12.66666667,14,13.33333333,2015-04,Buena Vista,Iowa
Barnes,Broilers,2015,February,2.645544,12,14,13.33333333,2015-02,Buena Vista,Iowa
Hayes,Broilers,2015,February,29.211215,12.66666667,14,13.33333333,2015-02,Buena Vista,Iowa
Buckingham,Oats,2014,October,6.283167,56,69.34666667,66.68,2014-10,Tama,Iowa
Buckingham,Oats,2015,October,1.322772,146.68,176,172.2666667,2015-10,Tama,Iowa
Buckingham,Oats,2016,October,6.393398,79.41333333,84.41333333,82.41333333,2016-10,Tama,Iowa
Washington,Broilers,2015,January,1.10231,13.33333333,13.33333333,13.33333333,2015-01,Buena Vista,Iowa
Hayes,Broilers,2015,July,52.580187,12.4,14.26666667,13.33333333,2015-07,Buena Vista,Iowa
Carl,Hogs,2015,June,66.248831,3.333333333,11.56,7.44,2015-06,Adams,Iowa
Benton,Hogs,2015,April,953.49815,6.306666667,8.906666667,7.6,2015-04,Benton,Iowa
Carlton,Corn,2014,October,79.035627,13.13333333,23.58666667,19.58666667,2014-10,Tama,Iowa
Carlton,Corn,2015,October,70.988764,18.17333333,50.17333333,50.17333333,2015-10,Tama,Iowa
Carlton,Corn,2016,October,210.761672,3.44,8.986666667,5.893333333,2016-10,Tama,Iowa
Carlton,Turkeys,2014,October,1.653465,8,13.33333333,10.66666667,2014-10,Tama,Iowa
Carlton,Dairy Products,2014,October,16.314188,17.84,27.58666667,23.38666667,2014-10,Tama,Iowa
Carlton,Dairy Products,2015,October,21.605276,11.74666667,17.84,17.84,2015-10,Tama,Iowa
Carlton,Dairy Products,2016,October,21.715507,8.346666667,15.44,11.4,2016-10,Tama,Iowa
Lee,Broilers,2015,July,0.220462,12.66666667,14,13.33333333,2015-07,Buena Vista,Iowa
Hayes,Broilers,2015,June,115.301626,12.29333333,14.37333333,13.33333333,2015-06,Buena Vista,Iowa
Lee,Broilers,2015,June,48.170947,12.25333333,14.41333333,13.33333333,2015-06,Buena Vista,Iowa
Clark,Oats,2014,October,9.590097,50.24,53.12,51.45333333,2014-10,Tama,Iowa
Clark,Oats,2015,October,10.471945,99.88,108.8266667,104.3466667,2015-10,Tama,Iowa
Clark,Oats,2016,October,35.935306,74,80.96,78.29333333,2016-10,Tama,Iowa
Clark,Soybeans,2014,October,47.068637,39.6,42.02666667,40.6,2014-10,Tama,Iowa
Clark,Soybeans,2016,October,620.710761,24.34666667,36.68,30.25333333,2016-10,Tama,Iowa
Franklin,Hogs,2015,April,662.48831,5.813333333,9.853333333,7.626666667,2015-04,Decatur,Iowa
Clark,Corn,2015,October,141.205911,4.173333333,40.61333333,23.2,2015-10,Tama,Iowa
Clark,Corn,2016,October,0.330693,13.33333333,13.33333333,13.33333333,2016-10,Tama,Iowa
Clark,Turkeys,2015,October,661.386,4,10.66666667,6.666666667,2015-10,Tama,Iowa
Clark,Turkeys,2016,October,137.78875,6.666666667,15.33333333,12.33333333,2016-10,Tama,Iowa
Clark,Hay,2015,October,99.2079,9.333333333,20,13.33333333,2015-10,Tama,Iowa
Clark,Dairy Products,2014,October,10.582176,0.56,1.013333333,0.773333333,2014-10,Tama,Iowa
Clark,Dairy Products,2015,October,11.243562,0.493333333,1.053333333,0.56,2015-10,Tama,Iowa
Clark,Dairy Products,2016,October,19.621118,5.013333333,9.16,6.813333333,2016-10,Tama,Iowa
Hayes,Broilers,2015,March,14.660723,12.84,13.84,13.33333333,2015-03,Buena Vista,Iowa
Lee,Broilers,2015,March,17.63696,12.66666667,14,13.33333333,2015-03,Buena Vista,Iowa
Columbia,Oats,2014,October,0.110231,50.68,50.68,50.68,2014-10,Tama,Iowa
Columbia,Oats,2016,October,0.330693,57.34666667,57.34666667,57.34666667,2016-10,Tama,Iowa
Columbia,Soybeans,2014,October,38.911543,37.84,42.09333333,41.4,2014-10,Tama,Iowa
Columbia,Soybeans,2015,October,88.515493,49.68,51.30666667,50.88,2015-10,Tama,Iowa
Columbia,Soybeans,2016,October,355.715437,26.24,34.94666667,31.57333333,2016-10,Tama,Iowa
Providence,Broilers,2015,May,7.936632,12.13333333,14.66666667,13.33333333,2015-05,Buena Vista,Iowa
Hayes,Broilers,2014,November,86.972259,12.18666667,14.48,13.33333333,2014-11,Buena Vista,Iowa
Hayes,Broilers,2014,October,5.180857,12.66666667,14,13.33333333,2014-10,Buena Vista,Iowa
Geneseo,Oats,2014,October,38.139926,65.44,68.84,67.93333333,2014-10,Tama,Iowa
